,Nom,variable,value
0,Pelé Yohann,Match1,
1,Mandanda Steve,Match1,5.0
2,González Álvaro,Match1,
3,Sakai Hiroki,Match1,4.0
4,Amavi Jordan,Match1,4.0
5,Kamara Boubacar,Match1,4.0
6,Perrin Lucas,Match1,
7,Caleta-Car Duje,Match1,3.0
8,Sarr Bouna,Match1,4.5
9,Strootman Kevin,Match1,4.0
10,Luiz Gustavo,Match1,5.0
11,Thauvin Florian,Match1,
12,Lopez Maxime,Match1,
13,Sanson Morgan,Match1,4.0
14,Payet Dimitri,Match1,4.0
15,Chabrolle Florian,Match1,4.0
16,Aké Marley,Match1,
17,Khaoui Saif-Eddine,Match1,
18,Rongier Valentin,Match1,
19,Radonjic Nemanja,Match1,3.0
20,Germain Valère,Match1,3.5
21,Lihadji Isaac,Match1,
22,Benedetto Dario,Match1,4.0
23,Lopes Anthony,Match1,6.0
24,Tatarusanu Ciprian,Match1,
25,Kone Youssouf,Match1,6.0
26,Rafael,Match1,
27,Yanga-Mbiwa Mapou,Match1,
28,Marçal,Match1,
29,Marcelo,Match1,
30,Dubois Léo,Match1,6.0
31,Denayer Jason,Match1,7.0
32,Solet Oumar,Match1,
33,Andersen Joachim,Match1,6.0
34,Tete Kenny,Match1,5.0
35,Tousart Lucas,Match1,7.5
36,Thiago Mendes,Match1,6.0
37,Terrier Martin,Match1,
38,Jean Lucas,Match1,5.0
39,Reine-Adélaïde Jeff,Match1,
40,Aouar Houssem,Match1,5.5
41,Depay Memphis,Match1,7.0
42,Traoré Bertrand,Match1,7.0
43,Gouiri Amine,Match1,
44,Dembele Moussa,Match1,7.0
45,Cornet Maxwel,Match1,5.0
46,Areola Alphonse,Match1,6.0
47,Bulka Marcin,Match1,
48,Rico Sergio,Match1,
49,Navas Keylor,Match1,
50,Thiago Silva,Match1,6.0
51,Marquinhos,Match1,6.5
52,Diallo Abdou,Match1,5.5
53,Kimpembe Presnel,Match1,
54,Kurzawa Layvin,Match1,
55,Dagba Colin,Match1,
56,Kehrer Thilo,Match1,5.5
57,Bernat Juan,Match1,6.0
58,Bakker Mitchel,Match1,
59,Mbe Soh Loïc,Match1,
60,Meunier Thomas,Match1,4.5
61,Verratti Marco,Match1,6.5
62,Sarabia Pablo,Match1,4.0
63,Di María Ángel,Match1,7.0
64,Herrera Ander,Match1,
65,Draxler Julian,Match1,5.0
66,Choupo-Moting Eric Maxim,Match1,
67,Paredes Leandro,Match1,5.0
68,Gueye Idrissa,Match1,
69,Aouchiche Adil,Match1,
70,Cavani Edinson,Match1,5.5
71,Neymar,Match1,
72,Icardi Mauro,Match1,
73,Jesé,Match1,
74,Mbappé Kylian,Match1,7.0
75,Cardinale Yoan,Match1,
76,Benítez Walter,Match1,
77,Clementia Yannis,Match1,5.5
78,Cisse Ibrahim,Match1,
79,Sarr Malang,Match1,5.0
80,Dante,Match1,7.5
81,Coly Racine,Match1,
82,Herelle Christophe,Match1,6.0
83,Atal Youcef,Match1,
84,Pelmard Andy,Match1,
85,Lloris Gautier,Match1,
86,Burner Patrick,Match1,5.0
87,Lusamba Arnaud,Match1,
88,Walter Remi,Match1,5.5
89,Cyprien Wylan,Match1,6.5
90,Lees-Melou Pierre,Match1,
91,Tameze Adrien,Match1,5.0
92,Srarfi Bassem,Match1,4.5
93,Kephren Thuram,Match1,
94,Boudaoui Hichem,Match1,
95,Danilo,Match1,
96,Sylvestre Eddy,Match1,4.5
97,N'Soki Stanley,Match1,
98,Ounas Adam,Match1,
99,Claude Maurice Alexis,Match1,
100,Pedro  Brazao,Match1,
101,Sacko Ihsan,Match1,4.5
102,Le Bihan Mickael,Match1,5.0
103,Diaby Mohamed Lamine,Match1,
104,Maolida Myziane,Match1,5.0
105,Dolberg Kasper,Match1,
106,Ganago Ignatius,Match1,6.0
107,,Match1,5.636363636363637
108,Ruffier Stéphane,Match1,7.0
109,Bajic Stefan,Match1,
110,Moulin Jessy,Match1,
111,Perrin Loic,Match1,6.5
112,Nade Mickael,Match1,
113,Saliba William,Match1,
114,Gabriel Silva,Match1,
115,Moukoudi Harold,Match1,6.0
116,Trauco Miguel,Match1,6.0
117,Palencia Sergi,Match1,
118,Kolodziejczak Timothée,Match1,
119,Debuchy Mathieu,Match1,5.0
120,Hamouma Romain,Match1,6.5
121,Khazri Wahbi,Match1,6.0
122,Nordin Arnaud,Match1,4.5
123,Youssouf Zaydou,Match1,5.0
124,Bouanga Denis,Match1,5.0
125,Cabaye Yohan,Match1,
126,Sissoko Nelson,Match1,
127,Fofana Wesley,Match1,
128,Boudebouz Ryad,Match1,6.0
129,Aholou Jean Eudes,Match1,7.0
130,M'Vila Yann,Match1,6.0
131,Monnet-Paquet Kévin,Match1,
132,Diony Lois,Match1,
133,Beric Robert,Match1,4.5
134,Abi Charles,Match1,
135,Honorat Franck,Match1,
136,Maignan Mike,Match1,6.0
137,Léo Jardim,Match1,
138,Soumaoro Adama,Match1,
139,Zeki Celik Mehmet,Match1,4.5
140,José Fonte,Match1,6.0
141,Gabriel,Match1,
142,Pied Jérémy,Match1,
143,Agouzoul Saad,Match1,
144,Tiago Djalo,Match1,5.0
145,Bradaric Domagoj,Match1,5.0
146,Reinildo,Match1,5.5
147,André Benjamin,Match1,6.0
148,Xeka,Match1,
149,Soumaré Boubakary,Match1,4.5
150,Bamba Jonathan,Match1,6.0
151,Ikoné Jonathan,Match1,5.5
152,Zekaj Arton,Match1,
153,Yazici Yusuf,Match1,5.0
154,Renato Sanches,Match1,
155,Niasse Cheikh,Match1,
156,Thiago Maia,Match1,5.0
157,Luiz Araujo,Match1,
158,Weah Timothy,Match1,5.0
159,Osimhen Victor,Match1,7.5
160,Ouattara Abou,Match1,
161,Remy Loïc,Match1,
162,Costil Benoit,Match1,4.0
163,Poussin Gaetan,Match1,
164,Rouyard Davy,Match1,
165,Poundjé Maxime,Match1,
166,Sabaly Youssouf,Match1,
167,Kwateng Enock,Match1,
168,Benito Loris,Match1,3.0
169,Mexer,Match1,3.5
170,Baysse Paul,Match1,
171,Pablo,Match1,3.0
172,Bellanova Raoul,Match1,3.0
173,Koscielny Laurent,Match1,
174,Jovanovic Vukasin,Match1,
175,Otávio,Match1,
176,Tchouameni Aurelien,Match1,4.0
177,Basic Toma,Match1,4.5
178,Adli Yacine,Match1,
179,Lottin Albert-Nicolas,Match1,4.0
180,Benrahou Yassine,Match1,4.5
181,Aït Bennasser Youssef,Match1,
182,Sankharé Younousse,Match1,
183,Hwang Ui-jo,Match1,4.0
184,Kamano Francois,Match1,
185,de Preville Nicolas,Match1,6.0
186,Kalu Samuel,Match1,4.5
187,Jonathan Cafu,Match1,
188,Maja Josh,Match1,4.0
189,Briand Jimmy,Match1,4.0
190,Carvalho Matis,Match1,
191,Rulli Geronimo,Match1,
192,Bertaud Dimitry,Match1,5.0
193,Congré Daniel,Match1,5.0
194,Hilton,Match1,5.0
195,Pedro Mendes,Match1,6.0
196,Souquet Arnaud,Match1,5.0
197,Cozza Nicolas,Match1,
198,Le Tallec Damien,Match1,5.0
199,Suarez Mathias,Match1,
200,Oyongo Ambroise,Match1,
201,Ristic Mihailo,Match1,4.5
202,Dolly Keagan,Match1,5.0
203,Píriz Facundo,Match1,
204,Junior Sambia,Match1,
205,Mollet Florent,Match1,
206,Savanier Téji,Match1,
207,Boutobba Bilal,Match1,
208,Chotard Joris,Match1,5.0
209,Ferri Jordan,Match1,7.0
210,Camara Souleymane,Match1,4.5
211,Laborde Gaetan,Match1,3.5
212,Skuletic Petar,Match1,4.5
213,Delort Andy,Match1,3.0
214,Reynet Baptiste,Match1,7.0
215,Goicoechea Mauro,Match1,
216,Amian Kelvin,Match1,5.0
217,Sylla Issiaga,Match1,4.5
218,Rogel Agustin,Match1,5.0
219,Moreira Steven,Match1,5.5
220,Diakite Bafode,Match1,5.5
221,Shoji Gen,Match1,
222,Goncalves Mathieu,Match1,
223,Isimat-Mirin Nicolas,Match1,
224,Diarra Moussa,Match1,
225,Vainqueur William,Match1,5.0
226,Sangaré Ibrahim,Match1,5.0
227,Makengo Jean-Victor,Match1,5.0
228,Dossevi Mathieu,Match1,6.0
229,Sidibe Kalidou,Match1,
230,Kone Kouadio,Match1,
231,Boisgard Quentin,Match1,5.0
232,N'Goumou Minpol Nathan,Match1,
233,Jean Corentin,Match1,
234,Gradel Max,Match1,5.5
235,Koulouris Efthymis,Match1,6.0
236,Leya Iseka Aaron,Match1,4.5
237,Said Wesley,Match1,
238,Sanogo Yaya,Match1,
239,Mendy Edouard,Match1,
240,Salin Romain,Match1,8.0
241,Morel Jeremy,Match1,7.0
242,Hamari Traoré,Match1,6.0
243,Nyamsi Gerzino,Match1,5.0
244,Da Silva Damien,Match1,6.5
245,Doumbia Souleyman,Match1,
246,Boey Sacha,Match1,5.0
247,Gnagnon Joris,Match1,
248,Gelin Jeremy,Match1,6.0
249,Hunou Adrien,Match1,
250,Tait Flavien,Match1,3.5
251,Bourigeaud Benjamin,Match1,
252,Faitout Maouassa,Match1,5.0
253,Lea Siliki James,Match1,5.5
254,Grenier Clément,Match1,6.0
255,Johansson Jakob,Match1,
256,Camavinga Eduardo,Match1,7.0
257,Guitane Rafik,Match1,
258,Martin Jonas,Match1,
259,Del Castillo Romain,Match1,
260,Jordan Siebatcheu,Match1,4.5
261,Niang M'Baye,Match1,4.5
262,Raphinha,Match1,
263,Sakho Diafra,Match1,
264,Petric Denis,Match1,
265,Lafont Alban,Match1,4.0
266,Olliero Alexandre,Match1,
267,Appiah Dennis,Match1,
268,Wagué Molla,Match1,4.5
269,Lucas Lima,Match1,5.5
270,Fabio,Match1,4.0
271,Charles Traoré,Match1,4.0
272,Basila Thomas,Match1,
273,Pallois Nicolas,Match1,5.0
274,Touré Abdoulaye,Match1,4.5
275,Rongier Valentin,Match1,5.0
276,Moutoussamy Samuel,Match1,4.5
277,Andrei Girotto,Match1,5.5
278,Krhin Rene,Match1,
279,Kayembe Joris,Match1,
280,Coco Marcus,Match1,4.5
281,Louza Imran,Match1,
282,Abeid Mehdi,Match1,
283,Bamba Abdoul Kader,Match1,4.5
284,Simon Moses,Match1,
285,Benavente Bristol Cristian,Match1,
286,Blas Ludovic,Match1,
287,Youan Thody Elie,Match1,
288,Kalifa Coulibaly,Match1,4.0
289,Benaglio Diego,Match1,
290,Subasic Danijel,Match1,
291,Lecomte Benjamin,Match1,3.0
292,Sy Seydou,Match1,
293,Panzo Jonathan,Match1,4.5
294,Jemerson,Match1,4.0
295,Aguilar Ruben,Match1,4.5
296,Glik Kamil,Match1,4.0
297,Badiashile Mukinayi Benoit,Match1,
298,Naldo,Match1,
299,Ballo-Toure Fode,Match1,3.0
300,Maripan Guillermo,Match1,
301,Henrichs Benjamin,Match1,4.5
302,Adama Traoré II,Match1,4.5
303,Rony Lopes,Match1,4.5
304,Diop Sofiane,Match1,
305,Adrien Silva,Match1,
306,Golovin Aleksandr,Match1,
307,Fàbregas Cesc,Match1,3.5
308,Gil Dias,Match1,
309,Onyekuru Henry,Match1,
310,Bakayoko Tiemoué,Match1,
311,Boschilia Gabriel,Match1,5.0
312,Jovetic Stevan,Match1,
313,Pellegri Pietro,Match1,
314,Augustin Jean-Kévin,Match1,
315,Geubbels Willem,Match1,
316,Foster Lyle,Match1,5.0
317,Slimani Islam,Match1,
318,Gelson Martins,Match1,5.0
319,Ben Yedder Wissam,Match1,
320,Keita,Match1,
321,Sylla Moussa,Match1,4.5
322,Petkovic Danijel,Match1,
323,Mandrea Anthony,Match1,
324,Butelle Ludovic,Match1,5.0
325,Thomas Romain,Match1,5.0
326,Traoré Ismael,Match1,
327,Manceau Vincent,Match1,5.0
328,Pavlovic Mateo,Match1,6.0
329,Bamba Abdoulaye,Match1,
330,Pellenard Théo,Match1,5.0
331,Cisse Ibrahim,Match1,
332,Ait Nouri Rayan,Match1,5.5
333,Fulgini Angelo,Match1,
334,Mangani Thomas,Match1,7.0
335,Capelle Pierrick,Match1,6.0
336,Pajot Vincent,Match1,5.0
337,Santamaria Baptiste,Match1,6.0
338,Reine-Adélaïde Jeff,Match1,7.5
339,Mancini Anthony,Match1,
340,Pereira Lage,Match1,8.0
341,Bobichon Antonin,Match1,
342,El Melali Farid,Match1,5.0
343,Kanga Wilfried,Match1,
344,Bahoken Stephane,Match1,
345,Alioui Rachid,Match1,5.0
346,Casimir Ninga,Match1,
347,Thioub Sada,Match1,
348,Rúnarsson Rúnar Alex,Match1,4.0
349,Gomis Alfred,Match1,
350,Ntumba Levi,Match1,
351,Lautoa Wesley,Match1,
352,Ecuele Manga Bruno,Match1,4.5
353,Chafik Fouad,Match1,4.5
354,Coulibaly Senou,Match1,4.0
355,Aguerd Nayef,Match1,
356,Barbet Théo,Match1,
357,Muzinga Ngonda,Match1,
358,Mendyl Hamza,Match1,
359,Alphonse Mickaël,Match1,5.0
360,Sammaritano Frederic,Match1,5.0
361,Marié Jordan,Match1,
362,Balmont Florent,Match1,
363,Amalfitano Romain,Match1,4.5
364,Soumaré Bryan,Match1,5.0
365,Mama Baldé,Match1,4.0
366,Matheus Pereira,Match1,
367,Loiodice Enzo,Match1,5.0
368,Ndong Didier,Match1,5.5
369,Tavares Júlio,Match1,6.0
370,Jules Keita,Match1,4.5
371,Philippe Ryan,Match1,
372,Mavididi Stephy,Match1,
373,Cadiz Jhonder,Match1,
374,Chouiar Mounir,Match1,
375,Jeannot Benjamin,Match1,5.0
376,Kamara Bingourou,Match1,
377,Kawashima Eiji,Match1,
378,Sels Matz,Match1,5.5
379,Lala Kenny,Match1,5.0
380,Djiku Alexander,Match1,5.0
381,Ndour Abdallah,Match1,
382,Lebeau Adrien,Match1,
383,Koné Lamine,Match1,5.5
384,Mitrovic Stefan,Match1,5.5
385,Carole Lionel,Match1,5.0
386,Simakan Mohamed,Match1,
387,Martin Jonas,Match1,6.0
388,Lienard Dimitri,Match1,7.0
389,Corgnet Benjamin,Match1,
390,Caci Anthony,Match1,
391,Bellegarde Jean-Ricner,Match1,4.0
392,Thomasson Adrien,Match1,6.5
393,Sissoko Ibrahima,Match1,
394,Zemzemi Moataz,Match1,
395,Zohi Kévin,Match1,4.5
396,Fofana Youssouf,Match1,5.0
397,Prcic Sanjin,Match1,
398,Grimm Jeremy,Match1,
399,Nuno da Costa,Match1,4.0
400,Mothiba Lebo,Match1,
401,Botella Ivann,Match1,
402,Ajorque Ludovic,Match1,4.5
403,Gurtner Régis,Match1,6.0
404,Dreyer Matthieu,Match1,
405,Gendrey Valentin,Match1,
406,Prince,Match1,5.0
407,Bodmer Mathieu,Match1,
408,Aleesami Haitam,Match1,4.5
409,Dibassy Bakaye,Match1,
410,Lefort Jordan,Match1,5.0
411,Sy Sanasi,Match1,
412,Jallet Christophe,Match1,5.0
413,Calabresi Arturo,Match1,
414,Chedjou Aurélien,Match1,
415,Monconduit Thomas,Match1,4.5
416,Zungu Bongani,Match1,5.0
417,Gnahore Eddy,Match1,2.0
418,Timite Cheick,Match1,6.0
419,Blin Alexis,Match1,5.5
420,Kakuta Gaël,Match1,
421,Talal Madih,Match1,
422,Mendoza John Stiven,Match1,
423,Cornette Quentin,Match1,
424,Konaté Moussa,Match1,
425,Diabaté Fousseni,Match1,
426,Ghoddos Saman,Match1,4.5
427,Akolo Chadrac,Match1,6.5
428,Guirassy Sehrou,Match1,5.0
429,Otero Juan Ferney,Match1,5.5
430,Diouf Yehvann,Match1,
431,Lemaître Nicolas,Match1,
432,Rajkovic Predrag,Match1,6.0
433,Konan Ghislain,Match1,5.5
434,Abdelhamid Yunis,Match1,6.0
435,Sissoko Sambou,Match1,
436,Foket Thomas,Match1,6.0
437,Disasi Axel,Match1,6.5
438,Romao Jacques-Alaixys,Match1,7.0
439,Chavalerin Xavier,Match1,6.0
440,Cafaro Mathieu,Match1,
441,Doumbia Moussa,Match1,5.5
442,Oudin Remi,Match1,5.5
443,Mbemba Nolan,Match1,
444,Munetsi Marshall,Match1,
445,Kamara Hassane,Match1,7.5
446,Dia Boulaye,Match1,7.5
447,Berthier Gregory,Match1,
448,Moreto Cassama,Match1,
449,Kutesa Dereck,Match1,
450,Dingome Tristan,Match1,7.0
451,Pinson Virgile,Match1,
452,Mbuku Nathanael,Match1,5.0
453,Nkada Timothee,Match1,
454,Donis Anastasios,Match1,
455,Zeneli Arbër,Match1,
456,Suk Hyun-Jun,Match1,6.0
457,Bernadoni Paul,Match1,4.5
458,Lionel Dias Lucas,Match1,
459,Alakouch Sofiane,Match1,4.5
460,Briancon Anthony,Match1,4.5
461,Landre Loïck,Match1,
462,Paquiez Gaetan,Match1,4.0
463,Miguel Florian,Match1,5.0
464,Martinez Pablo,Match1,3.5
465,Sarr Sidy,Match1,
466,Philippoteaux Romain,Match1,3.0
467,Valls Theo,Match1,4.0
468,Duljevic Haris,Match1,5.0
469,Ferhat Zinedine,Match1,4.5
470,Bobichon Antonin,Match1,3.5
471,Sainte Luce Theo,Match1,4.5
472,Fomba Lamine,Match1,
473,Deaux Lucas,Match1,
474,Valdivia Pierrick,Match1,5.0
475,Depres Clement,Match1,
476,Denkey Kéivn,Match1,
477,Ben Amar Sami,Match1,
478,Ripart Renaud,Match1,3.0
479,Stojanovski Vlatko,Match1,
480,Larsonneur Gautier,Match1,4.0
481,Léon Donovan,Match1,
482,Castelletto Jean-Charles,Match1,5.0
483,Bain Denys,Match1,5.5
484,Chardonnet Brendan,Match1,
485,Belaud Gaëtan,Match1,
486,Perraud Romain,Match1,4.5
487,Faussurier Julien,Match1,6.0
488,Baal Ludovic,Match1,
489,Kiki Enangon David,Match1,
490,Belkebla Haris,Match1,5.5
491,Diallo Ibrahima,Match1,6.0
492,N'Goma Ferris,Match1,5.0
493,Autret Mathias,Match1,7.0
494,Court Yoann,Match1,6.0
495,Battocchio Cristian,Match1,5.0
496,Lasne Paul,Match1,
497,,Match1,
498,,Match1,
499,Charbonnier Gaëtan ,Match1,4.0
500,Grandsir Samuel,Match1,5.5
501,Mayi Kévin,Match1,4.5
502,Osei Yaw Derick,Match1,
503,Cardona Irvin,Match1,
504,Mendy Alexandre,Match1,
505,Oukidja Alexandre,Match1,5.0
506,Delecroix Paul,Match1,
507,N'Doram Kevin,Match1,4.5
508,Boye John,Match1,
509,Sunzu Stoppila,Match1,5.0
510,Centonze Fabien,Match1,5.0
511,Delaine Thomas,Match1,4.5
512,Fofana Mamdou,Match1,5.5
513,,Match1,
514,,Match1,
515,,Match1,
516,,Match1,
517,Cohade Renaud,Match1,5.0
518,Maïga Habib,Match1,5.5
519,Boulaya Farid,Match1,4.0
520,Nguette Opa,Match1,5.5
521,Gakpa Marvin,Match1,5.0
522,Angban Victorien,Match1,5.0
523,Traoré Adama,Match1,
524,,Match1,
525,,Match1,
526,,Match1,
527,Diallo Habib,Match1,6.0
528,Niane Ibrahima,Match1,4.5
529,Ambrose Thierry,Match1,
530,,Match1,
531,,Match1,
532,,Match1,
533,Pelé Yohann,Match2,
534,Mandanda Steve,Match2,7.5
535,González Álvaro,Match2,5.5
536,Sakai Hiroki,Match2,5.0
537,Amavi Jordan,Match2,5.0
538,Kamara Boubacar,Match2,5.0
539,Perrin Lucas,Match2,
540,Caleta-Car Duje,Match2,
541,Sarr Bouna,Match2,4.5
542,Strootman Kevin,Match2,5.0
543,Luiz Gustavo,Match2,5.0
544,Thauvin Florian,Match2,
545,Lopez Maxime,Match2,5.0
546,Sanson Morgan,Match2,5.5
547,Payet Dimitri,Match2,6.0
548,Chabrolle Florian,Match2,
549,Aké Marley,Match2,
550,Khaoui Saif-Eddine,Match2,
551,Rongier Valentin,Match2,
552,Radonjic Nemanja,Match2,4.0
553,Germain Valère,Match2,4.5
554,Lihadji Isaac,Match2,
555,Benedetto Dario,Match2,2.5
556,Lopes Anthony,Match2,6.5
557,Tatarusanu Ciprian,Match2,
558,Kone Youssouf,Match2,6.0
559,Rafael,Match2,
560,Yanga-Mbiwa Mapou,Match2,
561,Marçal,Match2,
562,Marcelo,Match2,
563,Dubois Léo,Match2,5.5
564,Denayer Jason,Match2,6.0
565,Solet Oumar,Match2,
566,Andersen Joachim,Match2,6.0
567,Tete Kenny,Match2,5.0
568,Tousart Lucas,Match2,7.0
569,Thiago Mendes,Match2,6.0
570,Terrier Martin,Match2,5.0
571,Jean Lucas,Match2,6.5
572,Reine-Adélaïde Jeff,Match2,
573,Aouar Houssem,Match2,8.5
574,Depay Memphis,Match2,8.0
575,Traoré Bertrand,Match2,6.0
576,Gouiri Amine,Match2,
577,Dembele Moussa,Match2,7.0
578,Cornet Maxwel,Match2,
579,Areola Alphonse,Match2,4.5
580,Bulka Marcin,Match2,
581,Rico Sergio,Match2,
582,Navas Keylor,Match2,
583,Thiago Silva,Match2,5.0
584,Marquinhos,Match2,5.0
585,Diallo Abdou,Match2,4.0
586,Kimpembe Presnel,Match2,
587,Kurzawa Layvin,Match2,
588,Dagba Colin,Match2,5.0
589,Kehrer Thilo,Match2,
590,Bernat Juan,Match2,4.0
591,Bakker Mitchel,Match2,
592,Mbe Soh Loïc,Match2,
593,Meunier Thomas,Match2,4.0
594,Verratti Marco,Match2,5.5
595,Sarabia Pablo,Match2,5.0
596,Di María Ángel,Match2,4.0
597,Herrera Ander,Match2,
598,Draxler Julian,Match2,4.5
599,Choupo-Moting Eric Maxim,Match2,
600,Paredes Leandro,Match2,5.0
601,Gueye Idrissa,Match2,
602,Aouchiche Adil,Match2,
603,Cavani Edinson,Match2,5.0
604,Neymar,Match2,
605,Icardi Mauro,Match2,
606,Jesé,Match2,
607,Mbappé Kylian,Match2,4.5
608,Cardinale Yoan,Match2,
609,Benítez Walter,Match2,
610,Clementia Yannis,Match2,6.5
611,Cisse Ibrahim,Match2,5.0
612,Sarr Malang,Match2,
613,Dante,Match2,5.5
614,Coly Racine,Match2,3.5
615,Herelle Christophe,Match2,5.5
616,Atal Youcef,Match2,
617,Pelmard Andy,Match2,5.0
618,Lloris Gautier,Match2,
619,Burner Patrick,Match2,5.0
620,Lusamba Arnaud,Match2,5.0
621,Walter Remi,Match2,
622,Cyprien Wylan,Match2,7.5
623,Lees-Melou Pierre,Match2,6.0
624,Tameze Adrien,Match2,6.0
625,Srarfi Bassem,Match2,
626,Kephren Thuram,Match2,5.0
627,Boudaoui Hichem,Match2,
628,Danilo,Match2,
629,Sylvestre Eddy,Match2,
630,N'Soki Stanley,Match2,
631,Ounas Adam,Match2,
632,Claude Maurice Alexis,Match2,
633,Pedro  Brazao,Match2,
634,Sacko Ihsan,Match2,5.0
635,Le Bihan Mickael,Match2,
636,Diaby Mohamed Lamine,Match2,
637,Maolida Myziane,Match2,
638,Dolberg Kasper,Match2,
639,Ganago Ignatius,Match2,7.0
640,,Match2,5.681818181818182
641,Ruffier Stéphane,Match2,5.0
642,Bajic Stefan,Match2,
643,Moulin Jessy,Match2,
644,Perrin Loic,Match2,6.0
645,Nade Mickael,Match2,
646,Saliba William,Match2,
647,Gabriel Silva,Match2,
648,Moukoudi Harold,Match2,5.5
649,Trauco Miguel,Match2,4.5
650,Palencia Sergi,Match2,
651,Kolodziejczak Timothée,Match2,
652,Debuchy Mathieu,Match2,4.5
653,Hamouma Romain,Match2,5.0
654,Khazri Wahbi,Match2,4.0
655,Nordin Arnaud,Match2,4.5
656,Youssouf Zaydou,Match2,4.5
657,Bouanga Denis,Match2,7.0
658,Cabaye Yohan,Match2,
659,Sissoko Nelson,Match2,
660,Fofana Wesley,Match2,
661,Boudebouz Ryad,Match2,6.0
662,Aholou Jean Eudes,Match2,5.0
663,M'Vila Yann,Match2,4.5
664,Monnet-Paquet Kévin,Match2,
665,Diony Lois,Match2,
666,Beric Robert,Match2,4.0
667,Abi Charles,Match2,
668,Honorat Franck,Match2,
669,Maignan Mike,Match2,5.0
670,Léo Jardim,Match2,
671,Soumaoro Adama,Match2,
672,Zeki Celik Mehmet,Match2,5.0
673,José Fonte,Match2,5.5
674,Gabriel,Match2,
675,Pied Jérémy,Match2,
676,Agouzoul Saad,Match2,
677,Tiago Djalo,Match2,5.5
678,Bradaric Domagoj,Match2,5.0
679,Reinildo,Match2,
680,André Benjamin,Match2,5.5
681,Xeka,Match2,
682,Soumaré Boubakary,Match2,3.5
683,Bamba Jonathan,Match2,5.0
684,Ikoné Jonathan,Match2,5.0
685,Zekaj Arton,Match2,
686,Yazici Yusuf,Match2,5.0
687,Renato Sanches,Match2,
688,Niasse Cheikh,Match2,
689,Thiago Maia,Match2,5.0
690,Luiz Araujo,Match2,
691,Weah Timothy,Match2,4.5
692,Osimhen Victor,Match2,4.0
693,Ouattara Abou,Match2,
694,Remy Loïc,Match2,4.5
695,Costil Benoit,Match2,5.0
696,Poussin Gaetan,Match2,
697,Rouyard Davy,Match2,
698,Poundjé Maxime,Match2,
699,Sabaly Youssouf,Match2,5.0
700,Kwateng Enock,Match2,
701,Benito Loris,Match2,5.0
702,Mexer,Match2,5.0
703,Baysse Paul,Match2,
704,Pablo,Match2,5.5
705,Bellanova Raoul,Match2,
706,Koscielny Laurent,Match2,5.0
707,Jovanovic Vukasin,Match2,
708,Otávio,Match2,6.0
709,Tchouameni Aurelien,Match2,
710,Basic Toma,Match2,3.5
711,Adli Yacine,Match2,
712,Lottin Albert-Nicolas,Match2,
713,Benrahou Yassine,Match2,5.5
714,Aït Bennasser Youssef,Match2,
715,Sankharé Younousse,Match2,
716,Hwang Ui-jo,Match2,4.0
717,Kamano Francois,Match2,
718,de Preville Nicolas,Match2,5.0
719,Kalu Samuel,Match2,6.0
720,Jonathan Cafu,Match2,
721,Maja Josh,Match2,7.0
722,Briand Jimmy,Match2,4.5
723,Carvalho Matis,Match2,
724,Rulli Geronimo,Match2,5.0
725,Bertaud Dimitry,Match2,
726,Congré Daniel,Match2,4.5
727,Hilton,Match2,4.5
728,Pedro Mendes,Match2,4.5
729,Souquet Arnaud,Match2,4.5
730,Cozza Nicolas,Match2,
731,Le Tallec Damien,Match2,5.0
732,Suarez Mathias,Match2,
733,Oyongo Ambroise,Match2,5.0
734,Ristic Mihailo,Match2,4.5
735,Dolly Keagan,Match2,4.5
736,Píriz Facundo,Match2,
737,Junior Sambia,Match2,
738,Mollet Florent,Match2,
739,Savanier Téji,Match2,
740,Boutobba Bilal,Match2,
741,Chotard Joris,Match2,
742,Ferri Jordan,Match2,6.0
743,Camara Souleymane,Match2,4.5
744,Laborde Gaetan,Match2,6.0
745,Skuletic Petar,Match2,
746,Delort Andy,Match2,6.5
747,Reynet Baptiste,Match2,7.0
748,Goicoechea Mauro,Match2,
749,Amian Kelvin,Match2,6.0
750,Sylla Issiaga,Match2,7.0
751,Rogel Agustin,Match2,
752,Moreira Steven,Match2,5.0
753,Diakite Bafode,Match2,6.0
754,Shoji Gen,Match2,
755,Goncalves Mathieu,Match2,
756,Isimat-Mirin Nicolas,Match2,
757,Diarra Moussa,Match2,
758,Vainqueur William,Match2,6.0
759,Sangaré Ibrahim,Match2,6.0
760,Makengo Jean-Victor,Match2,6.5
761,Dossevi Mathieu,Match2,6.5
762,Sidibe Kalidou,Match2,5.0
763,Kone Kouadio,Match2,
764,Boisgard Quentin,Match2,5.0
765,N'Goumou Minpol Nathan,Match2,
766,Jean Corentin,Match2,
767,Gradel Max,Match2,6.0
768,Koulouris Efthymis,Match2,6.0
769,Leya Iseka Aaron,Match2,
770,Said Wesley,Match2,4.5
771,Sanogo Yaya,Match2,
772,Mendy Edouard,Match2,
773,Salin Romain,Match2,5.5
774,Morel Jeremy,Match2,6.0
775,Hamari Traoré,Match2,5.5
776,Nyamsi Gerzino,Match2,
777,Da Silva Damien,Match2,4.5
778,Doumbia Souleyman,Match2,
779,Boey Sacha,Match2,5.0
780,Gnagnon Joris,Match2,
781,Gelin Jeremy,Match2,6.0
782,Hunou Adrien,Match2,
783,Tait Flavien,Match2,
784,Bourigeaud Benjamin,Match2,5.5
