,Poste,Cote,Nom,Titula,Entres,Buts,Moyenne,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,Match12,Match13,Match14,Match15,Match16,Match17,Match18,Match19,Match20,Match21,Match22,Match23,Match24,Match25,Match26,Match27,Match28,Match29,Match30,Match31,Match32,Match33,Match34,Match35,Match36,Match37,Match38,team,var
20,M,7.0,Diop Sofiane,9.0,4.0,,4.423076923076923,5.0,5.0,,,4.5,4.5,4.5,4.0,,,5.0,3.5,5.0,4.0,4.5,,,4.5,3.5,,,,,,,,,,,,,,,,,,,,ASM,0.2852564102564103
21,M,,Aït Bennasser Youssef,12.0,1.0,,5.615384615384615,,,,6.0,6.0,7.0,,,,4.5,4.5,5.0,4.5,7.0,4.5,6.0,6.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,ASM,0.8397435897435898
22,M,7.0,Chadli Nacer,9.0,7.0,,4.5625,,,,,5.0,,3.5,5.0,4.5,4.0,,3.5,5.0,4.5,4.5,5.0,,4.5,,,,,,,,,5.0,4.5,5.0,4.5,,,,,,5.0,,,ASM,0.2625
23,M,14.0,Golovin Aleksandr,27.0,3.0,3,4.933333333333334,,,,,,4.5,4.0,4.5,5.0,5.0,3.5,4.5,,5.0,5.0,,5.0,2.5,,4.0,4.5,5.5,7.0,4.5,5.0,5.5,5.5,5.5,5.0,5.5,5.5,3.5,6.0,6.0,4.0,5.0,7.5,4.5,ASM,0.9954022988505747
24,M,,Pelé,4.0,4.0,,4.5625,,,,,,,,4.5,,,5.0,4.0,4.0,5.0,4.5,5.5,,4.0,,,,,,,,,,,,,,,,,,,,,ASM,0.3169642857142857
25,M,5.0,Massengo Han-Noah,,3.0,,5.0,,,,,,,,,,,,,5.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,ASM,0.0
26,M,3.0,Faivre Romain,1.0,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,ASM,
27,M,15.0,Fàbregas Cesc,12.0,1.0,1,4.884615384615385,,,,,,,,,,,,,,,,,,,,5.5,2.0,5.5,6.0,5.0,5.0,5.5,5.5,5.0,,,4.0,5.0,,,,,4.5,5.0,ASM,1.0064102564102566
28,M,8.0,Vainqueur William,1.0,2.0,,4.5,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,3.5,,,,,,,,,ASM,0.75
29,M,11.0,Adrien Silva,13.0,2.0,,5.366666666666666,,,,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.5,5.5,6.5,5.5,6.0,,5.0,6.0,5.0,4.5,5.5,5.0,5.5,5.5,ASM,0.30238095238095236
30,M,7.0,Nkoudou Georges-Kévin,,3.0,,4.833333333333333,,,,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,,,,,,,,,,,,,,ASM,0.08333333333333333
31,M,,Tielemans Youri,20.0,,5,5.225,6.0,5.5,5.0,6.0,6.0,4.5,3.5,,4.5,6.0,5.0,3.5,,7.0,6.0,6.0,4.5,4.0,5.0,7.0,5.0,4.5,,,,,,,,,,,,,,,,,ASM,1.0388157894736842
32,A,15.0,Falcao,29.0,4.0,15,5.015151515151516,7.5,3.0,4.0,6.5,,6.5,3.5,4.0,6.0,4.5,,3.5,2.5,6.5,4.0,7.0,4.5,4.0,4.0,,5.5,4.5,5.0,6.0,4.5,5.5,7.0,6.0,,5.0,,5.0,4.0,7.5,4.0,5.0,6.0,3.5,ASM,1.773200757575757
33,A,7.0,Jovetic Stevan,4.0,4.0,2,5.1875,7.0,5.0,,,,,,,4.5,4.5,,,,,,,4.5,,,,,,,,,,,,,5.0,6.0,5.0,,,,,,,ASM,0.78125
34,A,5.0,Pellegri Pietro,,3.0,1,5.0,,,6.5,4.5,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,1.75
35,A,2.0,Mboula Jordi,3.0,4.0,,4.428571428571429,5.5,4.5,4.5,4.5,,4.0,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,0.2857142857142857
