,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
552,Granada,Alberto,player_463182,Soro,3,8,5683,32,4.9,0.0,3.0,0.0
553,Osasuna,Iván,player_463408,Martínez,1,2,450,10,-,0.0,3.0,0.0
554,Osasuna,Jorge,player_463784,Herrando,2,1,450,20,-,0.0,3.0,0.0
555,Getafe,,player_464283,Juan Iglesias,2,1,1450,20,5.0,0.0,3.0,0.06
556,Elche,Lluis,player_464442,Andreu,1,1,954,10,-,0.0,3.0,0.0
557,Valladolid,Ignasi,player_464471,Vilarrasa,2,1,192,20,-,0.0,3.0,0.0
558,Granada,Daniel,player_464520,Plomer,4,1,5683,40,4,0.0,3.0,0.0
559,Alavés,Sergi,player_464899,García,3,1,173,32,5,0.0,3.0,0.0
560,Atlético,Manuel,player_465494,Sánchez,2,4,175,21,6.0,0.0,3.0,0.06
561,Atlético,Ricard,player_465495,Sánchez,2,1,175,21,-,0.0,3.0,0.0
562,Barcelona,,player_465607,Ansu Fati,4,5,178,40,5.6,4.0,3.0,0.33
563,Barcelona,,player_465689,Ilaix Moriba,3,1,178,31,-,0.0,3.0,0.0
564,Valencia,Guillem,player_466042,Molina,2,2,191,20,4,0.0,3.0,0.0
565,Valencia,Jesús,player_466044,Vázquez,2,1,191,20,-,0.0,3.0,0.0
566,Real Madrid,,player_466072,Marvin Park,3,1,186,32,5,0.0,3.0,0.0
567,Real Madrid,,player_466118,Luis López,1,1,186,10,-,0.0,3.0,0.0
568,Bilbao,Jon,player_466558,Morcillo,3,9,174,32,5.1,0.0,3.0,0.28
569,Valencia,Pablo,player_467005,Gozálbez,3,1,191,31,-,0.0,3.0,0.0
570,Atlético,German,player_467020,Valera,4,1,175,40,-,0.0,3.0,0.0
571,Real Sociedad,Roberto,player_467063,López,4,6,188,40,4.9,2.0,3.0,0.22
572,Real Sociedad,Ander,player_471138,Barrenetxea,3,16,188,32,4.8,2.0,3.0,0.5
573,Real Sociedad,Aihen,player_472145,Muñoz,2,7,188,21,4.8,0.0,3.0,0.61
574,Granada,Carlos,player_472148,Neva,2,11,5683,21,4.9,0.0,3.0,0.89
575,Betis,Paul,player_475177,Akouokou,3,6,185,31,5.3,0.0,3.0,0.06
576,Getafe,Sabit,player_476459,Abdulai,3,1,1450,31,-,0.0,3.0,0.0
577,Osasuna,Jon,player_477463,Moncayola,3,11,450,31,4.9,0.0,3.0,0.8300000000000001
578,Elche,,player_478954,Nacho Ramón,4,3,954,40,-,0.0,3.0,0.0
579,Real Sociedad,Martín,player_481655,Zubimendi,3,12,188,31,5.3,0.0,3.0,0.44
580,Alavés,Javier,player_484406,López,2,6,173,21,4.8,0.0,3.0,0.06
581,Eibar,Jon Mikel,player_484439,Magunagoitia,1,3,953,10,-,0.0,3.0,0.0
582,Osasuna,Iñaki,player_484701,Álvarez,1,1,450,10,-,0.0,3.0,0.0
583,Osasuna,Aimar,player_484702,Oroz,3,1,450,32,-,0.0,3.0,0.0
584,Elche,Luis,player_484704,Castillo,1,3,954,10,-,0.0,3.0,0.0
585,Elche,Cesar,player_485211,Moreno,3,2,954,31,-,0.0,3.0,0.0
586,Granada,,player_485215,Isma Ruiz,3,3,5683,31,4.0,0.0,3.0,0.06
587,Valencia,Koba,player_485339,Koindredi,3,3,191,31,4.5,0.0,3.0,0.0
588,Villarreal,Yeremi,player_488024,Pino,4,11,449,40,4.8,1.0,3.0,0.11
589,Real Sociedad,Beñat,player_488026,Turrientes,3,1,188,31,-,0.0,3.0,0.0
